calendar_year,detention_center_type,deaths_n
2003,Private,1
2003,Public,2
2004,Private,11
2004,Public,21
2005,Private,9
2005,Public,11
2006,Private,7
2006,Public,11
2007,Private,4
2007,Public,3
2007,NA,1
2008,Private,9
2008,Public,7
2009,Private,7
2009,Public,3
2010,Private,3
2010,Public,6
2011,Private,7
2011,Public,4
2012,Private,3
2012,Public,2
2013,Private,7
2013,Public,2
2014,Private,5
2014,Public,1
2015,Private,6
2015,Public,1
2016,Private,9
2016,Public,3
2017,Private,8
2017,Public,2
2018,Private,9
2018,Public,2
2018,NA,1
2019,Private,6
2019,Public,3
2020,Private,15
2020,Public,3
2021,Private,4
2021,Public,1
2022,Private,3
2023,Private,7
2024,Private,9
2024,Public,2
2025,Private,24
2025,Public,6
2025,NA,1
2026,Private,5
2026,Public,1
2026,NA,2
