detention_center_name,detention_center_type,latitude,longitude,deaths_n
Eloy Detention Center,Private,32.817677,-111.51927,17
Krome North Service Processing Center,Private,25.76032,-80.496826,14
Stewart Detention Center,Private,32.036676,-84.771746,14
Adelanto ICE Processing Center,Private,34.557729,-117.441865,10
Otay Mesa Detention Center,Private,32.576525,-116.915478,10
Columbia Care Center,Private,34.075744,-80.979724,9
Houston Contract Detention Facility,Private,29.950836,-95.312188,9
Lasalle Correctional Center,Private,31.85131,-92.28482,7
Port Isabel Service Processing Center,Private,26.157941,-97.35047,7
FMC Springfield,Public,37.177542,-93.323273,6
El Paso Service Processing Center,Private,31.796447,-106.369651,5
Broadview ICE Facility,Private,41.868522,-87.86562,4
FCI Butner,Public,36.187179,-78.740535,4
Florence Service Processing Center,Private,33.06496,-111.378505,4
Hampton Roads Regional Jail,Public,36.804472,-76.368436,4
Joe Corley Processing Center,Private,30.34444,-95.46021,4
Lerdo Pre-Trial Facility,Public,35.653064,-119.107939,4
Northwest ICE Processing Center,Private,47.25021,-122.422663,4
Oakdale Federal Detention Center,Public,30.820701,-92.640691,4
San Pedro Service Processing Center,Public,33.7272854,-118.269007,4
York County Prison,Public,39.987597,-76.663603,4
Adams County Detention Center,Private,31.569175,-91.230469,3
Camp East Montana,Private,31.812729,-106.298333,3
Dallas Field Office Hold Room,Public,32.823622,-96.872156,3
Denver Contract Detention Facility,Private,39.766325,-104.864502,3
Glades County Detention Center,Public,26.838714,-81.124018,3
Mira Loma Detention Center,Public,34.701656,-118.233176,3
Moshannon Valley Processing Center,Private,40.920042,-78.240515,3
Otero County Processing Center,Private,32.08042,-106.28262,3
Prairieland Detention Facility,Private,32.420785,-97.196902,3
Rolling Plains Detention Center,Private,33.176272,-99.721789,3
South Texas ICE Processing Center,Private,28.894651,-99.121943,3
Winn Correctional Center,Private,31.849565,-92.801514,3
Baker County Jail,Public,30.29596,-82.12172,2
Calhoun County Correctional Center,Public,42.316674,-85.175892,2
El Valle Detention Facility,Private,26.480407,-97.767334,2
Elizabeth Contract Detention Facility,Private,40.666157,-74.189694,2
FMC Devens,Public,42.529248,-71.613805,2
Farmville Detention Center,Private,37.319501,-78.438276,2
Florence Staging Facility,Private,33.06496,-111.378505,2
Imperial Regional Detention Facility,Private,32.690811,-115.397861,2
Karnes County Immigration Processing Center,Private,28.884651,-97.915298,2
MDC Guaynabo,Public,18.423156,-66.112208999999993,2
McHenry County Adult Correctional Facility,Public,42.337002,-88.443168,2
Miami Correctional Facility,Public,40.644997,-86.132978,2
Middlesex County Jail,Public,40.421388,-74.488991,2
Piedmont Regional Jail,Public,37.320601,-78.425392,2
Suffolk House of Correction,Public,42.332922,-71.070939,2
Tensas Parish Detention Center,Private,31.808719,-91.397103,2
Torrance County Detention Facility,Private,34.767387,-106.018496,2
Albany County Jail,Public,42.75141,-73.81536,1
Albuquerque Regional Correctional Center,Private,35.089343,-106.651437,1
Atlanta Pretrial Detention Center,Public,33.747313,-84.395391,1
Basile Detention Center,Private,30.486577,-92.583366,1
