fiscal_year,detention_center_name,deaths_n
2004,Columbia Care Center,5
2004,Dallas County Jail,1
2004,El Centro Service Processing Center,1
2004,Etowah County Jail,1
2004,FCI Allenwood,1
2004,FMC Rochester,1
2004,FMC Springfield,2
2004,Frio County Jail,1
2004,Guadalupe County Jail,1
2004,Hampton Roads Regional Jail,2
2004,Jefferson County Jail,1
2004,Krome North Service Processing Center,2
2004,Lerdo Pre-Trial Facility,1
2004,MDC Guaynabo,1
2004,Middlesex County Jail,1
2004,O'Hare Airport Hold Room,1
2004,Oakdale Federal Detention Center,1
2004,Pike County Jail,1
2004,Sacramento County Jail,1
2004,San Pedro Service Processing Center,1
2004,USP Atwater,1
2004,USP Terre Haute,1
2005,Columbia Care Center,1
2005,El Paso Service Processing Center,1
2005,Eloy Detention Center,3
2005,FCI Butner,2
2005,FMC Devens,1
2005,FMC Fort Worth,1
2005,FMC Springfield,1
2005,Hampton Roads Regional Jail,1
2005,Harris County Jail,1
2005,Laredo Processing Center,1
2005,McHenry County Adult Correctional Facility,1
2005,Monmouth County Jail,1
2005,Otay Mesa Detention Center,1
2005,Passaic County Jail,1
2005,Tensas Parish Detention Center,1
2005,Wicomico County Corrections Center,1
2005,York County Prison,1
2006,Albuquerque Regional Correctional Center,1
2006,Eloy Detention Center,2
2006,FCI Butner,1
2006,FMC Devens,1
2006,FMC Springfield,2
2006,Hampton Roads Regional Jail,1
2006,Houston Contract Detention Facility,1
2006,Lerdo Pre-Trial Facility,2
2006,Newton County Correctional Center,1
2006,Oakdale Federal Detention Center,1
2006,Otay Mesa Detention Center,2
2006,Ramsey County Adult Detention Center,1
2006,San Pedro Service Processing Center,2
2006,Suffolk House of Correction,1
2007,Bergen County Jail,1
2007,El Paso Service Processing Center,2
2007,Elizabeth Contract Detention Facility,1
2007,Eloy Detention Center,2
2007,Houston Contract Detention Facility,1
2007,Mira Loma Detention Center,1
2007,Northwest ICE Processing Center,1
2007,Piedmont Regional Jail,1
2007,Providence ICE ERO Hold Room,1
2007,San Pedro Service Processing Center,1
2008,Basile Detention Center,1
2008,Eloy Detention Center,1
2008,Glades County Detention Center,1
2008,Lemuel Shattuck Hospital,1
2008,Middlesex County Jail,1
2008,Mira Loma Detention Center,1
2008,Perry County Correctional Center,1
2008,Pinal County Jail,1
2008,Rolling Plains Detention Center,1
2008,Stewart Detention Center,1
2008,Wyatt Detention Center,1
2009,Columbia Care Center,2
2009,Eloy Detention Center,1
2009,FMC Springfield,1
2009,Lasalle Correctional Center,2
2009,Lerdo Pre-Trial Facility,1
2009,Otay Mesa Detention Center,1
2009,Otero County Processing Center,1
2009,Piedmont Regional Jail,1
2009,Port Isabel Service Processing Center,1
2009,Stewart Detention Center,1
2009,Tensas Parish Detention Center,1
2009,Wakulla County Jail,1
2010,Columbia Care Center,1
2010,FCI Butner,1
2010,Mira Loma Detention Center,1
2010,Oakdale Federal Detention Center,1
2010,Orleans Parish Prison,1
2010,Suffolk House of Correction,1
2010,York County Prison,2
2011,Albany County Jail,1
2011,Broadview ICE Facility,1
2011,Clinton County Correctional Facility,1
2011,Elizabeth Contract Detention Facility,1
2011,Houston Contract Detention Facility,1
2011,Krome North Service Processing Center,1
2011,North Georgia Detention Center,1
2011,Oakdale Federal Detention Center,1
2011,Theo Lacy Facility,1
2011,Weber County Jail,1
2012,Adelanto ICE Processing Center,1
2012,Denver Contract Detention Facility,1
2012,El Paso Service Processing Center,1
2012,Eloy Detention Center,1
2012,Farmville Detention Center,1
2012,Houston Contract Detention Facility,1
2012,Las Vegas Field Office Hold Room,1
2012,San Bernardino Field Office Hold Room,1
2013,Broadview ICE Facility,1
2013,Eloy Detention Center,3
2013,Houston Contract Detention Facility,1
2013,Joe Corley Processing Center,1
2013,MDC Guaynabo,1
2013,Port Isabel Service Processing Center,1
2013,Rolling Plains Detention Center,1
2014,Houston Contract Detention Facility,2
2014,Otay Mesa Detention Center,1
2014,Rio Grande Detention Center,1
2014,Utah County Jail,1
2014,York County Prison,1
2015,Adelanto ICE Processing Center,1
2015,El Paso County Jail,1
2015,Eloy Detention Center,1
2015,Florence Service Processing Center,1
2015,Houston Contract Detention Facility,1
2015,Port Isabel Service Processing Center,1
2015,South Texas ICE Processing Center,1
2016,Adelanto ICE Processing Center,1
2016,Essex County Jail,1
2016,Hall County Jail,1
2016,Krome North Service Processing Center,1
2016,Lasalle Correctional Center,3
2016,Orange County Jail,1
2016,Otay Mesa Detention Center,1
2016,Otero County Processing Center,1
2017,Adelanto ICE Processing Center,3
2017,Atlanta Pretrial Detention Center,1
2017,Eloy Detention Center,1
2017,Hudson County Jail,1
2017,IAH Polk Adult Detention Facility,1
2017,Krome North Service Processing Center,1
2017,Lasalle Correctional Center,1
2017,Rolling Plains Detention Center,1
2017,South Texas ICE Processing Center,1
2017,Stewart Detention Center,1
2018,Broadview ICE Facility,1
2018,Cibola County Correctional Center,1
2018,Denver Contract Detention Facility,1
2018,Eloy Detention Center,1
2018,Krome North Service Processing Center,1
2018,Otay Mesa Detention Center,1
2018,Port Isabel Service Processing Center,1
2018,Prairieland Detention Facility,1
2018,Stewart Detention Center,2
2019,Baker County Jail,1
2019,Florence Service Processing Center,1
2019,Houston Contract Detention Facility,1
2019,La Paz Adult Detention Facility,1
2019,McHenry County Adult Correctional Facility,1
2019,Monroe County Jail,1
2019,Northwest ICE Processing Center,1
2019,Stewart Detention Center,1
2020,Baker County Jail,1
2020,Catahoula Correctional Center,1
2020,Farmville Detention Center,1
2020,Glades County Detention Center,1
2020,Joe Corley Processing Center,1
2020,Karnes County Immigration Processing Center,1
2020,Krome North Service Processing Center,2
2020,Mesa Verde ICE Processing Center,1
2020,Northeast Ohio Correctional Center,1
2020,Otay Mesa Detention Center,2
2020,Port Isabel Service Processing Center,1
2020,Prairieland Detention Facility,1
2020,Richwood Correctional Center,1
2020,Stewart Detention Center,3
2020,Torrance County Detention Facility,1
2020,Winn Correctional Center,1
2020,Worcester County Jail,1
2021,Adams County Detention Center,1
2021,Calhoun County Correctional Center,1
2021,El Valle Detention Facility,1
2021,Port Isabel Service Processing Center,1
2021,Stewart Detention Center,1
2022,Adams County Detention Center,1
2022,Florence Service Processing Center,1
2022,Torrance County Detention Facility,1
