fiscal_year,detention_center_state,deaths_n
2004,AL,2
2004,CA,10
2004,FL,4
2004,IL,2
2004,IN,2
2004,LA,2
2004,MN,2
2004,MO,4
2004,NJ,2
2004,PA,4
2004,PR,2
2004,SC,10
2004,TX,8
2004,VA,4
2005,AZ,6
2005,CA,2
2005,GA,2
2005,IL,2
2005,LA,2
2005,MA,2
2005,MD,2
2005,MO,2
2005,NC,4
2005,NJ,4
2005,PA,2
2005,SC,2
2005,TX,6
2005,VA,2
2006,AZ,4
2006,CA,12
2006,LA,2
2006,MA,4
2006,MN,2
2006,MO,4
2006,NC,2
2006,NM,2
2006,TX,4
2006,VA,2
2007,AZ,4
2007,CA,4
2007,NJ,4
2007,RI,2
2007,TX,6
2007,VA,2
2007,WA,2
2008,AL,2
2008,AZ,4
2008,CA,2
2008,FL,2
2008,GA,2
2008,LA,2
2008,MA,2
2008,NJ,2
2008,RI,2
2008,TX,2
2009,AZ,2
2009,CA,4
2009,FL,2
2009,GA,2
2009,LA,6
2009,MO,2
2009,NM,2
2009,SC,4
2009,TX,2
2009,VA,2
2010,CA,2
2010,LA,4
2010,MA,2
2010,NC,2
2010,PA,4
2010,SC,2
2011,CA,2
2011,FL,2
2011,GA,2
2011,IL,2
2011,LA,2
2011,NJ,2
2011,NY,2
2011,PA,2
2011,TX,2
2011,UT,2
2012,AZ,2
2012,CA,4
2012,CO,2
2012,NV,2
2012,TX,4
2012,VA,2
2013,AZ,6
2013,IL,2
2013,PR,2
2013,TX,8
2014,CA,2
2014,PA,2
2014,TX,6
2014,UT,2
2015,AZ,4
2015,CA,2
2015,CO,2
2015,TX,6
2016,CA,4
2016,FL,2
2016,GA,2
2016,LA,6
2016,NJ,2
2016,NM,2
2016,NY,2
2017,AZ,2
2017,CA,6
2017,FL,2
2017,GA,4
2017,LA,2
2017,NJ,2
2017,TX,6
2018,AZ,2
2018,CA,2
2018,CO,2
2018,FL,2
2018,GA,4
2018,IL,2
2018,NM,2
2018,TX,4
2019,AZ,4
2019,FL,4
2019,GA,2
2019,IL,2
2019,TX,2
2019,WA,2
2020,CA,6
2020,FL,8
2020,GA,6
2020,LA,6
2020,MD,2
2020,NM,2
2020,OH,2
2020,TX,8
2020,VA,2
2021,GA,2
2021,MI,2
2021,MS,2
2021,TX,4
2022,AZ,2
2022,MS,2
2022,NM,2
2023,CA,2
2023,CO,2
2023,GA,2
2023,LA,2
2024,FL,2
2024,GA,4
2024,LA,2
2024,MI,2
2024,NM,2
2024,PA,2
2024,TX,8
2024,WA,2
2025,AZ,6
2025,CA,4
2025,FL,10
2025,GA,4
2025,IL,2
2025,MO,2
2025,NY,2
2025,PA,2
2025,PR,1
2025,TX,10
2025,WA,2
2025,NA,1
2026,AZ,2
2026,CA,8
2026,FL,8
2026,GA,4
2026,IN,4
2026,LA,4
2026,MI,2
2026,MO,2
2026,MS,2
2026,NJ,2
2026,PA,4
2026,TX,16
NA,NA,3
