calendar_year,detention_center_name,detention_center_state,detention_center_type,latitude,longitude,deaths_n
2003,Columbia Care Center,SC,Private,34.075744,-80.979724,1
2003,San Pedro Service Processing Center,CA,Public,33.7272854,-118.269007,1
2003,USP Atwater,CA,Public,37.3840277,-120.5587741,1
2004,Columbia Care Center,SC,Private,34.075744,-80.979724,4
2004,Dallas County Jail,TX,Public,32.776299,-96.815601,1
2004,El Centro Service Processing Center,CA,Private,32.802962,-115.569768,1
2004,El Paso Service Processing Center,TX,Private,31.796447,-106.369651,1
2004,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2004,Etowah County Jail,AL,Public,34.015737,-86.011933,1
2004,FCI Allenwood,PA,Public,41.127767,-76.921971,1
2004,FMC Devens,MA,Public,42.529248,-71.613805,1
2004,FMC Rochester,MN,Public,44.023339,-92.439526,1
2004,FMC Springfield,MO,Public,37.177542,-93.323273,2
2004,Frio County Jail,TX,Private,28.887948,-99.091675,1
2004,Guadalupe County Jail,TX,Public,29.603766,-97.970028,1
2004,Hampton Roads Regional Jail,VA,Public,36.804472,-76.368436,3
2004,Jefferson County Jail,TX,Private,30.079492,-94.094305,1
2004,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,2
2004,Lerdo Pre-Trial Facility,CA,Public,35.653064,-119.107939,1
2004,MDC Guaynabo,PR,Public,18.423156,-66.112208999999993,1
2004,Middlesex County Jail,NJ,Public,40.421388,-74.488991,1
2004,O'Hare Airport Hold Room,IL,Public,41.974839,-87.890021,1
2004,Oakdale Federal Detention Center,LA,Public,30.820701,-92.640691,1
2004,Pike County Jail,PA,Public,41.38881,-75.071465,1
2004,Sacramento County Jail,CA,Public,38.582987,-121.49743,1
2004,USP Terre Haute,IN,Public,39.416285,-87.450698,1
2004,Wicomico County Corrections Center,MD,Public,38.4084909,-75.5833224,1
2004,York County Prison,PA,Public,39.987597,-76.663603,1
2005,Columbia Care Center,SC,Private,34.075744,-80.979724,1
2005,Eloy Detention Center,AZ,Private,32.817677,-111.51927,3
2005,FCI Butner,NC,Public,36.187179,-78.740535,3
2005,FMC Fort Worth,TX,Public,32.6797719,-97.2874593,1
2005,FMC Springfield,MO,Public,37.177542,-93.323273,1
2005,Hampton Roads Regional Jail,VA,Public,36.804472,-76.368436,1
2005,Harris County Jail,GA,Public,32.764412,-84.866192,1
2005,Houston Contract Detention Facility,TX,Private,29.950836,-95.312188,1
