calendar_year,detention_center_type,deaths_n
2003,Private,2
2003,Public,4
2004,Private,22
2004,Public,42
2005,Private,18
2005,Public,22
2006,Private,14
2006,Public,22
2007,Private,8
2007,Public,6
2007,NA,2
2008,Private,18
2008,Public,14
2009,Private,14
2009,Public,6
2010,Private,6
2010,Public,12
2011,Private,14
2011,Public,8
2012,Private,6
2012,Public,4
2013,Private,14
2013,Public,4
2014,Private,10
2014,Public,2
2015,Private,12
2015,Public,2
2016,Private,18
2016,Public,6
2017,Private,16
2017,Public,4
2018,Private,20
2018,Public,4
2019,Private,12
2019,Public,6
2020,Private,30
2020,Public,6
2021,Private,8
2021,Public,2
2022,Private,6
2023,Private,14
2024,Private,18
2024,Public,4
2025,Private,48
2025,Public,13
2025,NA,1
2026,Private,24
2026,Public,12
NA,NA,3
