calendar_year,deaths,person_years,mortality_per_100k,ci_lower_95,ci_upper_95
2009,10,31368.96646132786,31.878640350896333,15.287047158675954,58.62595461884181
2010,9,32098.316221765916,28.038853931836734,12.821149461377951,53.2264787142758
2011,11,33341.16084873374,32.9922525790453,16.46961361708372,59.03225326375957
2012,5,35149.17180013689,14.22508623654264,4.6188467806575675,33.19660601299636
2013,9,33026.74332648871,27.25064324698844,12.460729344990083,51.730209311060065
2014,6,30840.071184120465,19.455208012260996,7.139718453777775,42.34579727313665
2015,7,28748.903490759752,24.348754735114976,9.789462239575284,50.16774071518242
2016,12,35562.80082135524,33.74312405898603,17.435564594222875,58.9424470628018
2017,10,36858.52977412731,27.130762027896886,13.010254954603578,49.894437338428
2018,12,42684.90896646133,28.112980185640602,14.526387097590328,49.10771875991824
2019,9,49143.003422313486,18.313898974911922,8.374280794384127,34.765484935057465
2020,18,25821.07871321013,69.71048808581013,41.31485325956496,110.17262517763847
2021,5,20654.639288158796,24.207636503564967,7.860153680094318,56.4925483158259
2022,3,23809.2977412731,12.600119636454208,2.598447588074559,36.82289652140547
2023,7,30605.637234770704,22.871603509850736,9.195570835305144,47.12424463202141
2024,11,37517.6810403833,29.319509348565052,14.636193429242763,52.46070110814309
2025,31,54887.019849418204,56.47965600072309,38.375186040211126,80.16836334704946
2026,11,12776.741957563312,86.09393565695711,42.977782485356485,154.04583248745183
