detention_center_raw,state,detention_facility_code
Larkin Community Hospital Behavioral Health Center,Florida,LRKBHFL
Miami Correctional Facility,Indiana,INMIAMI
Providence ICE ERO Holding Room,Rhode Island,PROHOLD
Adams County Detention Center,Mississippi,ADAMSMS
Adelanto Detention Facility,California,ADLNTCA
Adelanto ICE Processing Center,California,ADLNTCA
Albany County Jail,New York,ALBCONY
"Allenwood Low Security Federal Correctional Institute
(PA)",North Carolina,BOPALM
Atlanta City Detention Center,Georgia,ATLANGA
Atwater US Penitentiary,California,BOPATW
Baker County Detention Center,Florida,BAKERFL
Bergen County Jail,New Jersey,BERGENJ
Bernalillo County Detention Center,New Mexico,BERNANM
Broadview Service Staging,Illinois,BSAHOLD
Brooks County Detention Center,Texas,BSAHOLD
Broward Transitional Center,Florida,BSAHOLD
Butner Federal Correctional Institute,North Carolina,BOPBUT
Calhoun County Correctional Center,Michigan,CALHOMI
Calhoun County Jail,Michigan,CALHOMI
Camp East Montana,Texas,EROFCB
Catahoula Correctional Center,Louisiana,CATAHLA
Central Arizona Correctional Complex,Arizona,FLO
Cibola County Correctional Center,New Mexico,CIBOCNM
Clinton County Correctional Facility,Pennsylvania,CLINTPA
Columbia Care Center,South Carolina,COLCASC
Dallas County Jail,Texas,DALCOTX
Delaney Hall,New Jersey,DHDFNJ
Denver Contract Detention Facility,Colorado,DENICDF
Devens Federal Medical Center,Massachusetts,BOPDEV
El Centro Service Processing Center,California,ECC
"El Paso County Criminal Justice Center
(Colorado)",Colorado,ELPASCO
El Paso Service Processing Center,Texas,EPC
El Valle Detention Facility,Texas,ELVDFTX
El Valle Valley Detention Facility,Texas,ELVDFTX
Elizabeth Contract Detention Facility,New Jersey,ELZICDF
Eloy Detention Center,Arizona,EAZ
Essex County Detention Facility,New Jersey,ESSEXNJ
Etowah County Jail,Alabama,ETOWAAL
Farmville Detention Center,Virginia,FRMVLVA
Federal Detention Center - Miami,Florida,BOPMIM
Federal Detention Center - PHL,Pennsylvania,BOPPHL
Florence Service Processing Center,Arizona,FLO
Florence Staging Facility,Arizona,FSF
Folkston ICE Processing Center,Georgia,FIPCMGA
Fort Worth Federal Medical Center,Texas,BOPFTW
Frio County Jail,Texas,FRIOCTX
Glades County Detention Center,Florida,GLADEFL
Guadalupe City Jail,Texas,GUADATX
"Guaynabo Metropolitan Detention Center
(Puerto Rico)",Puerto Rico,BOPGUA
Hall County Jail,Nebraska,HALLJGA
Hampton Roads Regional Jail,Virginia,HRREGVA
Harris County Jail (GA),Georgia,HARRIGA
Henderson Detention Center,Texas,HENDETX
Houston Contract Detention Facility,Texas,HOUICDF
Hudson County Correctional,New Jersey,HUDSONJ
Hudson County Correctional Facility,New Jersey,HUDSONJ
"IAH Secure Adult Detention Center
Livingston, Texas",Texas,POLKCTX
ICE ERO Dallas Field Office,Texas,DALHOLD
Immigration Centers of America Farmville,Virginia,FRMVLVA
Imperial Regional Detention Center,California,IRADFCA
Imperial Regional Detention Facility,California,IRADFCA
"INS Airport Hold, IL",Illinois,CHIHOLD
Jefferson County Jail,Texas,JEFFETX
Joe Corley ICE Processing Center,Texas,JCRLYTX
Karnes City ICE Processing Center,Texas,KARNETX
Karnes County ICE Processing Center,Texas,KCCDCTX
Kern County Jail,California,KERCOCA
Krome North Service Processing Center,Florida,KRO
